index,title,year,plot,genre,rating,numvotes
170,Scarface,1983,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Crime,Drama",8.3,692169
171,The General,1926,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Action,Adventure,Comedy",8.1,74777
172,Rashomon,1950,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime,Drama,Mystery",8.2,141330
173,Pulp Fiction,1994,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama",8.9,1717119
174,1917,2019,"April 6th 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message, that will stop 1,600 men, from walking straight into a deadly trap.","Drama,War",8.5,124602
175,Se7en,1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery",8.6,1345579
176,The Lives of Others,2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Drama,Mystery,Thriller",8.4,336041
177,City Lights,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy,Drama,Romance",8.5,154896
178,My Father and My Son,2005,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,"Drama,Family",8.3,71963
179,Léon: The Professional,1994,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action,Crime,Drama",8.5,968193
180,V for Vendetta,2005,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","Action,Drama,Sci-Fi",8.2,979613
181,Green Book,2018,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography,Comedy,Drama",8.2,284835
182,Warrior,2011,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Drama,Sport",8.2,414710
183,On the Waterfront,1954,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Crime,Drama,Thriller",8.1,133213
184,Rush,2013,The merciless 1970s rivalry between Formula One rivals,"Biography,Drama,Sport",8.1,407437
185,Sherlock Jr.,1924,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action,Comedy,Romance",8.2,36072
186,Double Indemnity,1944,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,"Crime,Drama,Film-Noir",8.3,133582
187,White Heat,1949,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"Action,Crime,Drama",8.2,26965
188,The Godfather: Part II,1974,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama",9.0,1054511
189,Aliens,1986,"Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","Action,Adventure,Sci-Fi",8.3,620757
190,The Handmaiden,2016,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller",8.1,90539
191,Lagaan: Once Upon a Time in India,2001,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Adventure,Drama,Musical",8.1,97191
192,The Invisible Guest,2016,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.,"Crime,Mystery,Thriller",8.1,99605
193,Star Wars: Episode VI - Return of the Jedi,1983,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Action,Adventure,Fantasy",8.3,900264
194,Finding Nemo,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation,Adventure,Comedy",8.1,899801
195,Judgment at Nuremberg,1961,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama,War",8.2,64407
196,Reservoir Dogs,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime,Drama,Thriller",8.3,864790
197,Cool Hand Luke,1967,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama",8.1,153471
198,The Bridge on the River Kwai,1957,"British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it.","Adventure,Drama,War",8.1,192112
199,Raging Bull,1980,The life of boxer,"Biography,Drama,Sport",8.2,301445
200,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Animation,Adventure,Comedy",8.3,833839
201,The Shining,1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama,Horror",8.4,830880
202,Nausicaä of the Valley of the Wind,1984,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Animation,Adventure,Fantasy",8.1,133712
203,Princess Mononoke,1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Animation,Adventure,Fantasy",8.4,308394
204,There Will Be Blood,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,8.2,481393
205,Rear Window,1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"Mystery,Thriller",8.4,415249
206,2001: A Space Odyssey,1968,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Adventure,Sci-Fi",8.3,565349
207,12 Angry Men,1957,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Drama,8.9,636985
208,Barry Lyndon,1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure,Drama,History",8.1,138368
209,Monty Python's Life of Brian,1979,Born on the original Christmas in the stable next door to,Comedy,8.1,346921
210,Shutter Island,2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery,Thriller",8.1,1049797
211,The 400 Blows,1959,"A young boy, left without attention, delves into a life of petty crime.","Crime,Drama",8.1,96378
212,Like Stars on Earth,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama,Family",8.4,151322
213,PK,2014,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,"Comedy,Drama,Fantasy",8.1,146618
214,Gone with the Wind,1939,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Drama,History,Romance",8.1,272704
215,The Red Shoes,1948,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Drama,Music,Romance",8.2,27229
216,Taxi Driver,1976,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","Crime,Drama",8.3,672453
217,Ben-Hur,1959,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Adventure,Drama,History",8.1,207805
218,Star Wars: Episode IV - A New Hope,1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action,Adventure,Fantasy",8.6,1170043
219,Ace in the Hole,1951,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","Drama,Film-Noir",8.2,27111
220,Sunset Blvd.,1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama,Film-Noir",8.4,187109
221,North by Northwest,1959,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,"Adventure,Mystery,Thriller",8.3,281532
222,Gladiator,2000,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action,Adventure,Drama",8.5,1261929
223,A Clockwork Orange,1971,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Crime,Drama,Sci-Fi",8.3,715586
224,Tokyo Story,1953,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,8.2,46595
225,To Kill a Mockingbird,1962,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","Crime,Drama",8.3,280756
226,Back to the Future,1985,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","Adventure,Comedy,Sci-Fi",8.5,978160
227,Paths of Glory,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Drama,War",8.4,163977
228,Seven Samurai,1954,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Action,Adventure,Drama",8.6,295878
229,A Beautiful Mind,2001,After,"Biography,Drama",8.2,799047
230,American History X,1998,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Drama,8.5,983976
231,Akira,1988,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,"Animation,Action,Drama",8.0,149948
232,High and Low,1963,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,"Crime,Drama,Mystery",8.5,25606
233,Toy Story 3,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Animation,Adventure,Comedy",8.3,715924
234,Come and See,1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama,War",8.3,47336
235,Before Sunrise,1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama,Romance",8.1,248668
236,Casablanca,1942,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"Drama,Romance,War",8.5,492830
237,Persona,1966,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama,Thriller",8.1,91954
238,Andhadhun,2018,"A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Crime,Thriller",8.3,55070
239,Yojimbo,1961,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action,Drama,Thriller",8.2,102491
240,Forrest Gump,1994,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Drama,Romance",8.8,1685411
241,Grave of the Fireflies,1988,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation,Drama,War",8.5,210169
242,Lawrence of Arabia,1962,The story of,"Adventure,Biography,Drama",8.3,251884
243,The Terminator,1984,"In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.","Action,Sci-Fi",8.0,760673
244,Apocalypse Now,1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama,Mystery,War",8.4,570076
245,Requiem for a Dream,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,8.3,724340
246,Amores Perros,2000,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama,Thriller",8.1,212445
247,The Usual Suspects,1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime,Mystery,Thriller",8.5,937878
248,The Thing,1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror,Mystery,Sci-Fi",8.1,346368
249,One Flew Over the Cuckoo's Nest,1975,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Drama,8.7,862072
